Tabela de composicao em 100g de alimento;Energia (kcal);Proteina (g);Lipideos (g);Carboidratos (g);Calcio (mg);Ferro (mg);Retinol (mcg);Vitamina C (mg);Sodio  (mg);Restricao;Cod.
Quirera nao especificada;62.95;1.24;0.31;13.5;3.37;0.74;1.83;0;5.01;Liberado;0
Rabanete, cru;13.74;1.39;0.07;2.73;20.87;0.35;1;9.63;10.99;Liberado;0
Rapadura;351.96;0.99;0.07;90.79;30.49;4.44;0;0;22;proibido para menores 3 anos;2
Repolho, branco, cru;17.12;0.88;0.14;3.86;34.55;0.15;13.3;18.72;3.64;Liberado;0
Repolho, roxo, cru;30.91;1.91;0.06;7.2;43.67;0.52;4;43.2;2.34;Liberado;0
Roma, crua;55.74;0.4;0;15.11;4.75;0.26;0;8.12;0.59;Liberado;0
Rucula, crua;13.13;1.77;0.11;2.22;116.56;0.94;69167;46.29;9.42;Liberado;0
Sagu, mistura p/, preparada, (media diferentes sabores) ;123;0;0;30.6;6.88;0.55;0;0;0.35;Proibido;3
Sal, dietetico;0;0;0;0;0;0;0;0;23432;Liberado;0
Sal, grosso;0;0;0;0;0;0;0;0;39943;Liberado;0
Salame;397.84;25.81;30.64;2.91;87.02;1.25;0;0;1574;proibido para menores 3 anos;2
Salmao, sem pele, fresco, cru;169.78;19.25;9.71;0;8.75;0.24;35;0;64;Liberado;0
Salsa, crua;33.42;3.26;0.61;5.71;179.41;3.18;1743;51.69;2.3;Liberado;0
Salsicha em conserva;269.08;8.3;25.81;0.27;17.1;0.58;1.44;0;752.81;proibido para menores 3 anos;2
Salsicha no varejo crua;321.05;9.72;29.51;3.61;16.49;0.81;12.99;0;1174.71;proibido para menores 3 anos;2
Salsinha;36;2.98;0.79;6.34;138;6.2;520;133;56;Liberado;0
Salsinha seca;276;22.4;4.42;51.7;1467;97.9;2334;122;452;Liberado;0
Sapoti;96;0.7;0.1;25.9;29;1.2;4;13;0;Liberado;0
Sardinha, conserva em oleo;284.98;15.94;24.05;0;550.24;3.54;0;0;666;Limitado;1
Sardinha, inteira, crua;113.9;21.08;2.65;0;167.33;1.34;0;0;60;Liberado;0
Seleta de legumes, enlatada;56.53;3.42;0.35;12.67;16.16;1.06;0;0;398.14;Limitado;1
Serralha, crua;30.4;2.67;0.74;4.95;126.02;1.27;0;1.51;19.35;Liberado;0
Shoyu;60.93;3.31;0.33;11.65;14.53;0.5;0;0;5064;Proibido;3
Soja, extrato soluvel, natural, fluido;39.1;2.38;1.61;4.28;16.52;0.43;0;0;57;Liberado;0
Soja, extrato soluvel, po;458.9;35.69;26.18;28.48;359.04;7.01;0;9.21;83;Liberado;0
Soja, farinha;403.96;36.03;14.63;38.44;206.02;13.06;0;0;6;Liberado;0
Soja, queijo (tofu);64.49;6.55;3.95;2.13;80.76;1.43;0;0;1;Liberado;0
Sonho;378.79;6.02;18.25;48.08;40.17;1.94;34.34;0.05;132.89;proibido para menores 3 anos;2
Sopa desidratada (media diferentes sabores);348;11.7;5.3;63.4;55.1;2.45;6.51;0;3645;Proibido;3
Sopa, desidratada, (media diferentes sabores) ;348;11.7;5.3;63.4;55.1;2.45;6.51;0;3645;Proibido;3
Sorvete de qualquer sabor industrializado;206;3.6;11;25.13;121.67;0.37;116;0.63;78.67;proibido para menores 3 anos;2
Taioba, crua;34.21;2.9;0.93;5.43;141.09;1.91;1159;17.94;1.16;Liberado;0
Tamarindo, cru;275.7;3.21;0.46;72.53;37.1;0.55;3;7.25;0.36;Liberado;0
Tangerina, Ponca, crua;37.83;0.85;0.07;9.61;12.89;0.11;0;48.82;0;Liberado;0
Tangerina, Ponca, suco;36.11;0.52;0;8.8;4.28;0;0;41.75;0;Liberado;0
Tapereba;70;0.8;2.1;13.8;26;2.2;23;28;0;Liberado;0
Tempero a base de sal;21;2.7;0.3;2.1;0;0;0;0;32560;Proibido;3
Tomate seco;213;5.06;14.08;23.33;47;2.68;64.33;101.8;266;Liberado;0
Tomate, com semente, cru;15.34;1.1;0.17;3.14;6.94;0.24;103;21.21;1.02;Liberado;0
Tomate, extrato;60.93;2.43;0.19;14.96;29.08;2.09;144;18.01;497.93;Liberado;0
Tomate, molho industrializado;38.45;1.38;0.9;7.71;11.73;1.58;76;2.71;418.28;Proibido;3
Tomate, pure;27.94;1.36;0;6.89;13.24;1.25;0;5.38;103.93;Liberado;0
Tomate, salada;20.55;0.81;0;5.12;6.95;0.29;0;12.8;5.24;Liberado;0
Torrada, pao frances ;364;10.6;3.31;74.6;18.8;1.24;0;0;830;Limitado;1
Torrada, trigo, tradicional;396;11.5;6.4;73.6;19.4;5.76;0;0;913;proibido para menores 3 anos;2
Torrada, trigo, tradicional ;396;11.5;6.4;73.6;19.4;5.76;0;0;9.13;proibido para menores 3 anos;2
Tortas salgadas de qualquer sabor;249.55;3.87;9.86;38.4;17.95;1.17;45.79;3.52;161.34;Liberado;0
Toucinho, cru;592.53;11.48;60.26;0;2.39;0.44;0;0;50;Liberado;0
Tremoco, cru;381.28;33.58;10.34;43.79;176.75;2.79;0;24.97;3;Liberado;0
Tremoco, em conserva;120.64;11.11;3.78;12.39;15.54;0.34;0;0;1809;Limitado;1
Trigo para quibe, cru, Triticum spp.;336;12.3;1.33;74.9;35;2.46;0;0;17;Liberado;0
Trigo, farelo;370;17.5;4.74;64.3;74.4;10.8;0;0;2.04;Liberado;0
Tucuma, cru;262.02;2.09;19.08;26.47;46.34;0.57;2363;17.99;3.89;Liberado;0
Tucunare, file, congelado, cru;87.69;17.96;1.22;0;19.22;0.27;0;0;57;Liberado;0
Umbu, cru;37.02;0.84;0;9.4;11.56;0.09;0;24.06;0;Liberado;0
Umbu, polpa, congelada;33.94;0.51;0.07;8.79;10.71;0.21;0;3.95;5.77;Liberado;0
Umbu, polpa, congelada;35;0.52;0.08;8.86;10.8;0.21;0;3.96;5.78;Liberado;0
Uva passa;299;3.07;0.46;79.18;50;1.88;0.8;2.3;11;Liberado;0
Uva, Italia, crua;52.87;0.75;0.2;13.57;6.66;0.14;7.3;3.29;0;Liberado;0
Uva, Rubi, crua;49.06;0.61;0.16;12.7;7.62;0.17;0;1.86;7.92;Liberado;0
Uva, suco concentrado, envasado;57.66;0;0;14.71;9.32;0.12;0;20.97;9.58;Liberado;0
Vagem, crua;24.9;1.79;0.17;5.35;41.1;0.43;32;1.15;0;Liberado;0
Vinagre, maca;25;0;0;6.02;7;0.2;0;0;5;Liberado;0
Viscera bovina;191;29.08;5.26;5.13;6;6.54;9428;1.9;79;Liberado;0
Xerem de milho;62.95;1.24;0.31;13.5;3.37;0.74;1.83;0;5.01;Liberado;0
