Tabela de composicao em 100g de alimento;Energia (kcal);Proteina (g);Lipideos (g);Carboidratos (g);Calcio (mg);Ferro (mg);Retinol (mcg);Vitamina C (mg);Sodio  (mg);Restricao;Cod.
Batata palha;545.7;5.24;35.24;54.52;26.55;0.72;0;23.59;701.61;proibido para menores 3 anos;2
Batata, baroa, crua;100.98;1.05;0.17;23.98;17.13;0.3;25;7.55;0;Liberado;0
Batata, doce, crua;118.24;1.26;0.13;28.2;21.11;0.39;3637;16.48;8.77;Liberado;0
Batata, inglesa, crua;64.37;1.77;0;14.69;3.55;0.36;0;31.08;0;Liberado;0
Bebida Isotonica, sabores variados;26;0;0;6.4;1;0.7;0;0;44;Proibido;3
Bebida lactea;91.13;2.78;1.15;18.03;97.17;0.06;10.1;0.89;36.45;proibido para menores 3 anos;2
Bebida lactea (media de diferentes sabores);68;3.01;1.68;10.2;88.7;0;156;2.06;46.3;proibido para menores 3 anos;2
Bebida lactea, pessego;55.16;2.13;1.91;7.57;88.63;0;0;2.05;46;proibido para menores 3 anos;2
Berinjela, crua;19.63;1.22;0.1;4.43;9.22;0.25;24;3.01;0;Liberado;0
Beterraba, crua;48.83;1.95;0.09;11.11;18.11;0.32;3.8;3.12;9.72;Liberado;0
Biscoito de polvilho ;436.72;4.46;29.08;38.37;18.28;0.57;37584;0;536.68;Limitado;1
Biscoito de polvilho doce;438;1.3;12.2;80.5;30;1.8;0;0;98;Limitado;1
Biscoito recheado;472;6.4;19.6;70.5;27;2.3;0;0;239;Proibido;3
Biscoito salgado;432;10.1;14.4;68.7;20;2.2;0;0;854;Limitado;1
Biscoito, doce, maisena;442.82;8.07;11.97;75.23;54.45;1.76;0;6.22;352.03;proibido para menores 3 anos;2
Biscoito, doce, recheado com chocolate;471.82;6.4;19.58;70.55;27.23;2.27;0;3.53;239.2;Proibido;3
Biscoito, doce, recheado com morango;471.17;5.72;19.57;71.01;35.78;1.48;0;0;229.82;Proibido;3
Biscoito, doce, wafer, recheado de chocolate;502.46;5.56;24.67;67.54;23.34;2.44;0;0;137.24;Proibido;3
Biscoito, doce, wafer, recheado de morango;513.45;4.52;26.4;67.35;13.71;1.09;0;0;119.9;Proibido;3
Biscoito, salgado, cream cracker;431.73;10.06;14.44;68.73;20;2.2;0;0;854.36;proibido para menores 3 anos;2
Bisteca bovina (crua);471;21.57;41.98;0;12;2.31;0;0;50;Liberado;0
Bolo, industrializado (media diferentes sabores);420;6.49;19.6;54.5;116;3.6;1.23;1.9;332;Proibido;3
Bolo, mistura para;419;6.2;6.1;84.7;59;1.2;0;0;463;Proibido;3
Brocolis, cru;25.5;3.64;0.27;4.03;85.87;0.61;324;34.28;3.33;Liberado;0
Broto de alfafa;23;3.99;0.69;2.1;32;0.96;15.15;8.2;6;Liberado;0
Butia;105;1.9;2;22.8;20;2.2;30;33;0;Liberado;0
Cacao, posta, crua;83.33;17.85;0.79;0;8.7;0.2;6;0;176.02;Liberado;0
Cacau, cru;74.29;0.95;0.14;19.41;12.1;0.26;0;13.56;0.7;Liberado;0
Cafe;1;0.12;0.2;0.47;2;0.01;0;0;2;Liberado;0
Cafe soluvel capuccino ;27.75;0.26;0.84;5.17;4.05;0.03;0;0;50.1;Liberado;0
Cafe, po, torrado;430;14.7;12;65.8;107;8.14;0;0;1.14;Liberado;0
Caja, polpa, congelada;26.33;0.59;0.17;6.37;9.16;0.32;107;0;6.95;Liberado;0
Caja, polpa, congelada ;27;0.59;0.17;6.38;9.17;0.33;107;0;6.95;Liberado;0
Caja-Manga, cru;45.58;1.28;0;11.43;12.74;0.15;0;26.7;1.44;Liberado;0
Caju, cru;43.07;0.97;0.33;10.29;1.42;0.15;40;219.33;2.97;Liberado;0
Caju, polpa, congelada;36.57;0.48;0.15;9.35;0.84;0.15;21;119.72;4.16;Liberado;0
Caju, polpa, congelado;40;0.49;0.16;9.36;0.84;0.15;21;119;4.17;Liberado;0
Caju, suco concentrado, envasado;45.11;0.4;0.2;10.73;0.98;0.15;11;138.7;45.04;Liberado;0
Cajuina;45;0.8;0;11.5;0;0;0;0;15;Liberado;0
